web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556481244-2076","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@MarthaKelly3","Martha Kelly","Then let the straight ticket reflect what the majority want: universal healthcare, gun control, higher minimum wage, defunding ICE, overturning Citizens United & reinstating Net Neutrality, for starters. 

We can’t win on “not Republican.” Nor should we. https://twitter.com/brianschatz/status/971211820991205376 …","4","24","155","1520431531000","6:05 AM - 7 Mar 2018","/MarthaKelly3/status/971386363420475392","null"
"1556481244-2002","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@bullimusmaximus","Mike Bullard","If any sort of gun control legislation is passed that gun owners don't like, I say we set up sanctuary cities, where all guns are welcome and we just ignore any laws that infringe on our rights!!  DAMN!  I like this game!!","12","28","95","1520464198000","3:09 PM - 7 Mar 2018","/bullimusmaximus/status/971523378971541504","null"
"1556481244-2237","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@MSNBC","MSNBC","President Donald Trump has vowed to use his executive authority to tighten gun control.

But his administration has focused on delaying gun regulations http://on.msnbc.com/2Hddtia","87","118","124","1520350225000","7:30 AM - 6 Mar 2018","/MSNBC/status/971045341133983744","null"
"1556481244-2539","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@reason","reason","""Gun control is undead. We just keep killing it but it keeps coming back.""
 http://bit.ly/2H3d15H","2","12","22","1520208114000","4:01 PM - 4 Mar 2018","/reason/status/970449285547483138","null"
"1556481244-2268","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@claverackjac","jack's grandaughter Jess 🐾","dear mr. trump;

It's my Birthday! 

I've made a wish list of possibe gifts U might consider 2 help me celebrate!

#YourResignation

#ReleaseYourTaxReturns

#SanctionRussia

#FireKushner

#DACA

#GunControl

Any of these would B very much appreciated.

Thanks,
Jack","6","14","44","1520330768000","2:06 AM - 6 Mar 2018","/claverackjac/status/970963735627038720","null"
"1556481244-2437","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@thecjpearson","CJ Pearson","Had fun partnering with @micgoat to share my view that gun control is not the answer. Be sure to check them out! pic.twitter.com/h1iK3i1SNh","12","89","338","1520259262000","6:14 AM - 5 Mar 2018","/thecjpearson/status/970663817393950720","null"
"1556481244-2432","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@bcwilliams92","The Billie Williams","If the government can figure out which car model the most DWI’s happen in... they could Ban that particular model of car to save more lives from drunk drivers..

#LiberalLogic #GunControl pic.twitter.com/RKXab7vTR3","4","87","121","1520261303000","6:48 AM - 5 Mar 2018","/bcwilliams92/status/970672376915611649","null"
"1556481244-2209","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@MarkRocon","Mark the Deplorable","Democrats prized Gun Control Senator Leland Lee going to Prison for weapons trafficking, accepting bribes and extorting money.
Democrat Crime Syndicate in action.
https://joeforamerica.com/2018/02/democrat-scandal-senator-yee-prison-gun-trafficking/ …","160","1.5K","1.5K","1520359218000","10:00 AM - 6 Mar 2018","/MarkRocon/status/971083060929327106","null"
"1556481244-2509","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@slater_rose","🔯Rose R.Slater ✡️","It brings me great joy to watch the NRA panic as the teenagers change the gun world forever.
NRA like trump are spiraling out of control and I love watching every second of it because these people have tortured us for so long I hope it happens for them long and slow (the pain) pic.twitter.com/Dtfu7kUH4a","410","2.8K","18K","1520215060000","5:57 PM - 4 Mar 2018","/slater_rose/status/970478419770159104","null"
"1556481244-2007","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@nyc_erik","RESISTNYC","We will NOT let this issue smolder in the background because of @realDonaldTrump and his many scandals and diversions.

We need to protect our children NOW from a government enslaved by the @NRA. 

#NeverAgain #MarchForOurLives #Trump #GunReformNow #GunControl #NRA #Russiahttps://twitter.com/newstatesman/status/969931649688522752 …","1","21","26","1520462194000","2:36 PM - 7 Mar 2018","/nyc_erik/status/971514976316903424","null"
