web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556483330-5038","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@PoliticalEmilia","emilia","I want to make something clear:
Gun control isn’t the ONLY issue I care about. I’ve been here, talking about politics since I was 12.
Yes, I am a teenager who is passionate about that issue, but it’s not the only thing I care about.
If u don’t like that, feel free to unfollow","33","101","804","1522721163000","7:06 PM - 2 Apr 2018","/PoliticalEmilia/status/980989779033579520","null"
"1556483330-5100","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@thecjpearson","CJ Pearson","Piers - you missed my point. London has some of the most stringent gun control laws in the world, yet people’s lives continue to be taken away from them in the name of evil. 

Let’s stop blaming the weapon and start blaming the person. Let’s start blaming EVIL. https://twitter.com/piersmorgan/status/980852294634766336 …","82","211","833","1522688912000","10:08 AM - 2 Apr 2018","/thecjpearson/status/980854506018701316","null"
"1556483330-5256","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Bora_criticar","Jovem Conservador","I'm Brazilian.
In 2003 without gun control we had 30.000 murders
Last year, with gun control we had 70.000 murders.
Protect your guns, we didn't, now we are suffering.","2","16","24","1522546587000","6:36 PM - 31 Mar 2018","/Bora_criticar/status/980257552096165889","null"
"1556483330-5146","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@In_a_Poole","Jp 💥","Then they could make season 2 about awareness for gun control and school shootings","2","3","110","1522640173000","8:36 PM - 1 Apr 2018","/In_a_Poole/status/980650081224396801","null"
"1556483330-4878","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@BenPower78","Executive Time","This is actually a fair point. Along with gun control, universal healthcare would likely allow for many to get much needed mental/emotional help that otherwise isn't available for them.","8","11","193","1522797956000","4:25 PM - 3 Apr 2018","/BenPower78/status/981311870626709504","null"
"1556483330-5089","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@ReaganBabe","Megan Barth","It’s always the fascists at @mmfa who “progressively” censor conservative voices. Fascists don’t want to debate @KyleKashuv or “gun control” they want to create “fairness” through censorship. Get it? Got it? Good. Now #StandWithLaura and @MediaEqualizer @SScalpingshttps://twitter.com/theblaze/status/980882676885401600 …","2","22","35","1522696250000","12:10 PM - 2 Apr 2018","/ReaganBabe/status/980885286417649664","null"
"1556483330-5092","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@RealJack","Jack Murphy","That awkward moment when Democrats believe teens should be crafting our gun control policy and undermining our Constitution. 

Teens have had a notorious accomplishment record this year:

Eating tide pods.
Snorting condoms.
Playing Fortnite.
Attacking our freedoms.","7","109","230","1522694893000","11:48 AM - 2 Apr 2018","/RealJack/status/980879593254121474","null"
"1556483330-4923","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@TwitchyTeam","Twitchy Team","BAM: In light of YouTube shooting, @KayaJones sends gun control advocates THIS stark reminder https://twitchy.com/bethb-313034/2018/04/03/bam-in-light-of-youtube-shooting-kaya-jones-sends-gun-control-advocates-this-stark-reminder/ …","7","57","149","1522792300000","2:51 PM - 3 Apr 2018","/TwitchyTeam/status/981288147354046464","null"
"1556483330-5115","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@USCCA","USCCA","RT if you support THIS type of gun control! #MondayMotivatonpic.twitter.com/PP69JigyVm","","45","96","1522681472000","8:04 AM - 2 Apr 2018","/USCCA/status/980823301542072326","null"
"1556483330-4991","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@scrowder","Steven Crowder","Ouch => @benshapiro Smacks Piers Morgan Around Over Gun Control. Again https://www.louderwithcrowder.com/ben-shapiro-smacks-around-piers-morgan-over-gun-control-volume-27/ …pic.twitter.com/EKp3Tn5yQx","105","483","2.5K","1522767348000","7:55 AM - 3 Apr 2018","/scrowder/status/981183491965505536","null"
"1556483330-4978","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@realTylerZed","Tyler Zed","The 37th person in two months was killed on London’s streets yesterday as a 16 year old girl was shot dead.

Wait a damn minute. You mean to tell me London's harsh gun control laws didn't prevent this? I just don't understand, they're supposed to work!

@piersmorgan please advise","141","1.8K","3.8K","1522775181000","10:06 AM - 3 Apr 2018","/realTylerZed/status/981216346712125440","null"
"1556483330-5135","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@dixie_normas","Lucus McCain","You’ve made this statement a dozen times...

You demanded gun control, you got school security... sucks losing freedoms, doesn’t it?","5","14","253","1522662881000","2:54 AM - 2 Apr 2018","/dixie_normas/status/980745325995614210","null"
"1556483330-5076","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Sailingflyingd","C.R.TruthCrusader","I'll challenge you. In fact it would be great if teenagers,children of conservatives, openly debate teenagers whose parents are pushing for gun control. Why should the liberal children have all the limelight? My teenage son would decimate David Hogg with respect to the 2nd Amend","1","4","59","1522703479000","2:11 PM - 2 Apr 2018","/Sailingflyingd/status/980915606009667584","null"
"1556483330-5258","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@NRO","National Review","Only 12 Percent of First-Time Protesters at ‘March for Our Lives’ Were There for Gun Control http://natl.io/52ee4O pic.twitter.com/bzFtl4GEyu","11","26","38","1522546216000","6:30 PM - 31 Mar 2018","/NRO/status/980255995883671553","null"
"1556483330-4869","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@sirenofsong01","🦋 🌊Meghan McGrory  🌊 🦋","Is it too soon to talk about gun control now?!?!","9","4","42","1522799372000","4:49 PM - 3 Apr 2018","/sirenofsong01/status/981317808423350272","null"
"1556483330-5204","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@ian_mckelvey","Ian McKelvey","This is what it looks like when a quote comes to life:

“Gun Control: The theory that a woman found dead in an alley, raped and strangled with her panty hose, is somehow morally superior to a woman explaining to police how her attacker got that fatal bullet wound.”

— L. Smith https://twitter.com/loveisanswer34/status/980463186963980288 …","7","30","66","1522596328000","8:25 AM - 1 Apr 2018","/ian_mckelvey/status/980466183018352640","null"
"1556483330-5251","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Integralmathyt","Justicar","Gun Control: Lies, Damned Lies and CDC Statistics: http://youtu.be/9yB3LiQA3FQ?a  via @YouTube","4","13","24","1522549898000","7:31 PM - 31 Mar 2018","/Integralmathyt/status/980271441945006081","null"
"1556483330-5109","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Liz_Wheeler","Liz Wheeler","London murder rate overtakes New York City's for first time in history.

If only London had strict gun control... Oh wait. They do.

It's almost as if homicide isn't a weapon problem, it's a person problem.","354","5.5K","11K","1522686082000","9:21 AM - 2 Apr 2018","/Liz_Wheeler/status/980842637090418689","null"
"1556483330-4955","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Kirstenjoyweiss","Kirstenjoyweiss","Evil is what disgusts us. Chaos is what scares us. Not objects (like guns or knives). We just want to believe that banning objects will stop the evil and chaos. 

Because we can't stomach the more complex issues we can't control

B/c we're scared of the truth we can't ban evil","7","23","74","1522788550000","1:49 PM - 3 Apr 2018","/Kirstenjoyweiss/status/981272419267571713","null"
"1556483330-5116","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@maggiekb1","Maggie Koerth-Baker","Watching kids protest for gun control (and other kids express frustration that their protests against police violence aren't getting the same respect) is making me think of this story a lot: https://undark.org/article/unstudied-scars-civil-rights-resistance/ …","1","21","44","1522680760000","7:52 AM - 2 Apr 2018","/maggiekb1/status/980820316233478144","null"
"1556483330-5234","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@SafetyPinDaily","SafetyPin-Daily","Vermont just passed a gun control bill which raises the minimum age to buy weapons | Via; Independent http://www.independent.co.uk/news/world/americas/us-politics/gun-control-background-checks-new-law-minimum-age-21-vermont-a8282346.html …","","15","51","1522563134000","11:12 PM - 31 Mar 2018","/SafetyPinDaily/status/980326956792246272","null"
"1556483330-5293","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@kyliecondosta","Kylie Condosta","Right now, while Parkland victims and Americans are rallying for gun control with the #EnoughisEnough , in the U.K. there’s a similar movement to end anti-semitism using the same phrase and hashtag. This results in a widely varied collection of voices #honorssocialmedia","","","","1522540848000","5:00 PM - 31 Mar 2018","/kyliecondosta/status/980233481623089153","null"
"1556483330-4964","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@electricfire89","Becky Meyer","This is the most accurate meme I've ever seen about the gun control debate. Gun nuts: Calm down, my dudes. You've got over 300 million guns. They're not going to disappear. Chill. pic.twitter.com/nHvNWEqHVD","8","17","43","1522783015000","12:16 PM - 3 Apr 2018","/electricfire89/status/981249202528440326","null"
"1556483330-5026","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@ThomedySci","ThomedySci","Speed limits will be New Zealand's gun control.","10","20","96","1522733554000","10:32 PM - 2 Apr 2018","/ThomedySci/status/981041748993392641","null"
