web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556485398-7309","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@GiffordsCourage","Giffords","America's gun violence epidemic is out of control.

In 2016, 106 people were killed by guns and another 318 were wounded every day. Meanwhile, nonfatal gun injuries increased by nearly 40% from 2015 to 2016—the largest increase in more than a decade. 
http://lawcenter.giffords.org/gun-violence-increased-by-28-in-2016-according-to-cdc/ …pic.twitter.com/gCzg1ODrKr","5","28","49","1525900380000","2:13 PM - 9 May 2018","/GiffordsCourage/status/994324379302412288","null"
"1556485398-7435","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@GeWoessner","Géraldine Woessner","Houston, You've Got a Problem... #GunControl https://twitter.com/Limportant_fr/status/993402171365437440 …","1","12","13","1525692644000","4:30 AM - 7 May 2018","/GeWoessner/status/993453071366807552","null"
"1556485398-7484","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@HarawayWill","Will Haraway","Just another Saturday in Americas largest ""gun free zone"". You won't see @Alyssa_Milano in Chicago braying for more gun control. Not without armed security of course. https://chicago.suntimes.com/news/12-year-old-boy-among-19-wounded-saturday-in-gun-violence/ …
How many in Dallas?  1","11","39","84","1525613753000","6:35 AM - 6 May 2018","/HarawayWill/status/993122177946935296","null"
"1556485398-7515","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@NevadaJack2","🇺🇸 Jack Ralph  🇺🇸","The nation’s largest firearms trade association expelled Dick’s Sporting Goods on Friday morning, citing the retailer’s decision to hire multiple gun control lobbyists. http://thefederalist.com/2018/05/04/national-shooting-sports-foundation-just-expelled-dicks-sporting-goods-gun-control-lobbying/#.Wu48EoO4rso.twitter …","10","34","45","1525562409000","4:20 PM - 5 May 2018","/NevadaJack2/status/992906825941958656","null"
"1556485398-7676","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@TrinityResists","Trinity Resists  💚 ☮️ 🇺🇸 ✊","#ThursdayThoughts

Today thru May 6, the @NRA will gather at their annual convention in Dallas, TX

They’ll talk about arming teachers, deregulating silencers & how to make it legal for almost anyone to carry concealed weapons

They will NEVER discuss #GunReform or #GunControl
1/ pic.twitter.com/Bdf8Pl9QnF","45","439","484","1525369996000","10:53 AM - 3 May 2018","/TrinityResists/status/992099786219180032","null"
"1556485398-7739","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@LibertyHangout","Liberty Hangout","A better question is, how many children are supposed to die in gun free zones before liberals realize gun control doesn't work, and guns save way more lives than they kill? https://twitter.com/JenAshleyWright/status/927278228842209280 …","1","14","31","1525255669000","3:07 AM - 2 May 2018","/LibertyHangout/status/991620266978693122","null"
"1556485398-7292","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@jakejakeny","Jake Novak","The most ""common sense"" gun law ever enacted in the places in America where real gun violence is a constant problem was something called ""Stop and Frisk."" It got guns out of the bad guys' hands and saved lives. So-called gun control politicians killed it in my city. Enough said","3","4","14","1525899907000","2:05 PM - 9 May 2018","/jakejakeny/status/994322395468107776","null"
"1556485398-7343","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@AliDee12017","Ali  🌹 🇺🇸 🚂 👠","Yes I'm a bail bondsman! I know way too much about the scum running the Broward Sheriff dept! His Muslim Deputy Hamze trains CAIR members on self defense & helps them get concealed weapons carry permits! All while pushing Gun Control on US citizens","2","19","21","1525863061000","3:51 AM - 9 May 2018","/AliDee12017/status/994167854403551232","null"
"1556485398-7792","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@sfchronicle","San Francisco Chronicle","Newsom’s campaign hopes a new ad reinforces the notion that he has the “courage” to take on controversial issues like same-sex marriage, universal health care and gun control.
https://trib.al/Wmw0ahw","2","2","4","1525132922000","5:02 PM - 30 Apr 2018","/sfchronicle/status/991105429508771840","null"
"1556485398-7564","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@CujoChihuahua","Trink","Why would any reasonable person be against sensible gun control?","6","4","112","1525495751000","9:49 PM - 4 May 2018","/CujoChihuahua/status/992627241208037377","null"
